id;name
2393367e-f721-46be-8767-93a6cbef78cd;drive Concrete
8db1b35d-0f10-4abd-bed1-7025aa492e8b;Île-de-France Rhône-Alpes Concrete
f282cc9e-3e43-4afb-a330-f1b270335500;Handmade
f643ea32-b585-4323-bfa6-0a9d102c64b5;vortals empowering
f7adaf29-e770-4532-8492-3d30ebdb0345;calculating synthesizing
a90374f5-f460-41fc-9dff-38e6ca592ab9;b
5b0e42f8-d014-4575-854c-e85567c023e2;Open-source Palau
853b74de-aa73-4395-9f6c-bfcc73bf3733;Fish Awesome revolutionary
e201397b-99b5-4526-9846-3d342e170519;Ingenieur extensible mission-critical
89242387-3772-4d5f-9825-ae2ede10f17d;Wooden Streamlined Presbourg
