id;name;created;last_updated;min_days_from_start;execution_date_label;auto_generate_event;validation_strategy;display_generate_event_box;feature_type;block_entry_form;pre_generate_uid;remind_completed;generated_by_enrollment_date;allow_generate_next_visit;open_after_enrollment;sort_order;hide_due_date;enable_user_assignment;referral;display_execution_date_label;form_type;display_form_name;display_name;repeatable;program_stage_data_elements_count;program_stage_data_elements_content;created_by_id;last_updated_by_id;program_id
7a855132-d59f-4b7f-9b4f-a5d23f77752a;lorsque animer;2024-08-23T08:09:24;2024-08-23T19:49:07;265;mince;false;atténuer;false;biathlète tranquille;true;true;true;false;false;true;10280;true;false;false;arrière collègue coac coac;secours;apercevoir;à bas de triathlète persuader;false;259;11157;1752f566-91b8-4829-bb8e-d3bf22eb2a6c;1752f566-91b8-4829-bb8e-d3bf22eb2a6c;e10af4b8-d8c7-4d1e-9b3f-e76fbadf6661
fceabb23-b753-4516-9ccd-11c8e5c6e7db;électorat alentour protester;2024-08-22T23:05:35;2024-08-23T10:35:49;14499;smack dans la mesure où;true;sauf à;true;dehors trop minuscule;true;false;true;false;false;true;28845;false;false;true;afin que;conclure;passer jusqu’à ce que;de façon à ce que vu que athlète;true;18345;8057;3c3ed2dc-fc45-4ad0-ab39-20de39d81f6e;3c3ed2dc-fc45-4ad0-ab39-20de39d81f6e;fe5cae98-c123-48ac-a301-868a330c0991
e724d98f-e51d-4a7e-bf3d-cf6545c6686f;antagoniste triste;2024-08-23T18:51:18;2024-08-22T21:36:34;20683;définir;false;de la part de;true;main-d’œuvre aïe;false;false;false;false;false;true;7402;false;true;true;que jeune;camarade pin-pon chut;adversaire;près désormais ding;false;21528;6704;1574248c-b43d-4f79-ac61-39f47f36d4c7;1574248c-b43d-4f79-ac61-39f47f36d4c7;68559fa5-cce3-4c82-9447-2e7e34626859
e26e7512-eeaf-407e-9815-2df5e005744b;d'entre;2024-08-23T14:47:57;2024-08-23T13:57:23;9605;au point que diplomate personnel;false;trop;false;gigantesque coûter;false;false;true;false;true;false;31547;false;true;false;fort du moment que;juriste tant;debout administration deçà;jaillir;false;20161;14944;36bd2084-ccac-4769-8634-2cade8384af0;36bd2084-ccac-4769-8634-2cade8384af0;375c1d94-bdb0-447c-b71b-6598f6cada95
4a73f0ed-aa8d-48ae-bffa-56be531a1868;porte-parole incognito;2024-08-23T15:37:05;2024-08-23T13:25:11;5199;de façon que vlan;false;y;true;clientèle;true;true;true;false;false;false;10976;true;true;false;parer smack de façon que;douter tandis que;loufoque;en guise de gestionnaire;true;7141;25602;a0e17b37-5b12-4a6e-b693-ce2befbce889;a0e17b37-5b12-4a6e-b693-ce2befbce889;63b52850-6c8b-42d7-909a-7760319b3cda
465c133b-e753-4de4-ba91-629022540ded;prou gigantesque communauté étudiante;2024-08-23T11:45:51;2024-08-23T18:18:36;28059;moins cot cot;true;assez;false;sédentaire hôte dans la mesure où;true;false;false;true;true;true;16883;true;true;false;ha ha assez hebdomadaire;autour de snob;snif à l'entour de;fourbe badaboum réclamer;false;2214;22662;9db28592-7ec1-4f8f-bb6e-7ff9564cd8c7;9db28592-7ec1-4f8f-bb6e-7ff9564cd8c7;ad863b66-df0a-45e8-a9bb-81e6b7a6bdcb
4bc188ee-d957-45a1-8297-ce67e2c704e2;associer blême;2024-08-23T07:24:30;2024-08-23T02:51:07;6741;paf;false;après-demain;false;hé;false;false;false;false;false;true;6519;false;true;true;mairie tranquille rédaction;là-haut triompher habiter;moins;broum magenta environ;false;11272;22821;ddcc59a6-c4a5-40f9-ac8a-1e725e880769;ddcc59a6-c4a5-40f9-ac8a-1e725e880769;beb76f6d-6b20-4018-a098-7eb0700aca5e
2d098886-4b24-401f-ae60-706bd251795f;quasiment cadre;2024-08-22T21:00:15;2024-08-22T20:32:44;24482;dès que comme;false;subsister dès que ha;false;assez;false;true;true;true;false;true;19853;false;false;true;concernant proche de lorsque;à même rappeler membre du personnel;coac coac relire;splendide au défaut de;true;6160;32298;5f3b50ea-8fa3-4c74-8932-9a9966882497;5f3b50ea-8fa3-4c74-8932-9a9966882497;f17c2599-e583-41fd-acf7-2050d6665c85
bb7bd8a2-13cd-4f8a-9910-769a0897ab30;quasi;2024-08-23T19:21:02;2024-08-23T12:17:15;8223;au point que quand lectorat;false;à l'entour de près;false;personnel;true;true;true;true;false;true;15538;false;true;true;mal;candide fidèle zzzz;incalculable;arrière tomber;false;20032;5436;e8ed3d22-8845-4dc3-aaae-15f477290bd6;e8ed3d22-8845-4dc3-aaae-15f477290bd6;103cde63-6e17-4469-987c-733f2f07554d
45120485-7f8c-49ef-a60e-8cbe9f14c304;grrr marquer mature;2024-08-23T18:37:51;2024-08-23T19:18:35;10830;à l'instar de épanouir consoler;false;de façon à ce que;false;renier à la faveur de;true;true;true;true;false;false;25341;false;true;true;à condition que juriste;antagoniste euh;magnifique avant;davantage;false;32334;5743;89bb291e-d491-4430-9fa6-2a472cc420f5;89bb291e-d491-4430-9fa6-2a472cc420f5;a8ede1e3-6a59-4fe5-a890-5f91c0e71cbd
