id;name;created;last_updated;path;opening_date;level;track;created_by_id;last_updated_by_id
87e30b04-d9f1-43ea-89fc-bae272e35e8e;depuis hors de;2024-08-22T08:06:23;2024-08-22T16:27:25;drelin considérable fermer;2024-08-22T06:50:37;27408;NEW;1752f566-91b8-4829-bb8e-d3bf22eb2a6c;1752f566-91b8-4829-bb8e-d3bf22eb2a6c
bd81ecf3-cb24-4a5a-8908-3dc52c8963a1;remédier;2024-08-22T23:59:10;2024-08-22T03:07:38;pin-pon reproduire longtemps;2024-08-22T10:36:39;20340;UPDATE;3c3ed2dc-fc45-4ad0-ab39-20de39d81f6e;3c3ed2dc-fc45-4ad0-ab39-20de39d81f6e
fcbb283c-b886-4377-a693-c1af120d8cdf;altruiste ci;2024-08-22T09:41:34;2024-08-22T06:11:02;enregistrer;2024-08-23T00:42:57;5793;NEW;1574248c-b43d-4f79-ac61-39f47f36d4c7;1574248c-b43d-4f79-ac61-39f47f36d4c7
8de37fde-d0a6-4ca1-82ba-0c6bdec9f289;acheter;2024-08-22T08:28:54;2024-08-23T00:33:07;a derechef parlementaire;2024-08-22T23:36:56;27096;NONE;36bd2084-ccac-4769-8634-2cade8384af0;36bd2084-ccac-4769-8634-2cade8384af0
3f4ed0e6-2a4a-4370-af98-e58a228a821b;juriste exercer;2024-08-22T21:28:38;2024-08-22T18:06:09;tant loin;2024-08-22T23:18:17;2083;UPDATE;a0e17b37-5b12-4a6e-b693-ce2befbce889;a0e17b37-5b12-4a6e-b693-ce2befbce889
32000446-1105-44f7-a712-797930ded02d;badaboum enfin alentour;2024-08-22T07:11:59;2024-08-22T22:35:21;jusqu’à ce que;2024-08-22T05:40:39;25671;UPDATE;9db28592-7ec1-4f8f-bb6e-7ff9564cd8c7;9db28592-7ec1-4f8f-bb6e-7ff9564cd8c7
fbb9585b-12b6-4eb3-ab7d-6ebc8391e94e;ha ha attendrir;2024-08-22T08:37:12;2024-08-22T11:51:54;parce que;2024-08-22T07:00:04;2205;NEW;ddcc59a6-c4a5-40f9-ac8a-1e725e880769;ddcc59a6-c4a5-40f9-ac8a-1e725e880769
5d8b2dac-7377-4046-9642-94e99e5c3400;achever groin groin;2024-08-22T04:49:01;2024-08-22T16:01:33;assimiler lors tendre;2024-08-22T10:02:34;32630;NONE;5f3b50ea-8fa3-4c74-8932-9a9966882497;5f3b50ea-8fa3-4c74-8932-9a9966882497
d7223c50-28c5-4877-85aa-1294880c91c2;concernant puiser au-dessus;2024-08-22T05:35:13;2024-08-22T14:24:52;par rapport à;2024-08-22T11:48:30;2074;UPDATE;e8ed3d22-8845-4dc3-aaae-15f477290bd6;e8ed3d22-8845-4dc3-aaae-15f477290bd6
236b2271-6bee-4dd8-a209-aabc5e0d7360;personnel professionnel;2024-08-22T06:18:05;2024-08-22T19:43:08;en bas de porte-parole souple;2024-08-22T16:54:05;5497;UPDATE;89bb291e-d491-4430-9fa6-2a472cc420f5;89bb291e-d491-4430-9fa6-2a472cc420f5
