id;name
a89c26c5-d321-4a7b-a92e-fdab9757f2e9;sale propre lâche
431eaed6-df66-490c-86d8-83f1216d5b70;atchoum diablement si
6cde0f7f-8919-4250-b806-f1a3f5b19cce;placide membre à vie sans que
f4c09bdf-38f7-4e60-a807-5245971de676;drelin à la merci
2f00cd45-08ae-43ee-8a13-9b8ce91ebb15;de manière à ce que pin-pon solitaire
01b2b48e-e043-4c1c-9800-c0b2b430a276;bè
ccfb1ce5-b7fa-4922-a72d-b2e8521f295b;secours délégation
cdf23597-14da-419f-9217-39571f9ee358;coac coac
0dc718dc-c32c-4e7e-b648-aaba556db5ba;sus si à peine
df192a36-c41f-4c40-925b-0cf0a6260a16;frotter pourvu que si bien que
